id,nameeng,nameamh,position,placeofassignment,detail,,
1,Abdi Muhammed Hassen,አቶ አብዲ ሙመድ ሀሰን,ዋና ዳይሬክተር,ፌደራል ማረሚያ ቤቶች አስተዳደር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
2,Abdisa Yadetta Muletta,አቶ አብዲሣ ያደታ ሙለታ,ሚ/ር ዴኤታ,ስፖርት ኮሚሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
3,Abdo Mehammed Reshid,አቶ አብዶ መሐመድ ረሽድ,ም/ዋና ዳይሬክተር,የኢትዮ መንገዶች ባለስልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
4,Abi W/Mesqel Bayu,አቶ አቢ  ወ/መስቀል ባዩ,ዋና ዳይሬክተር,የኢት.ኢንቨስትመንት ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
5,Dr.Abrham Tekeste Meskel,ዶ/ር አብርሃም ተከስተ መስቀል,ሚ/ዴኤታ,የገንዘብና ኢኮኖሚ ልማት ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
6,Adafrie Bizuneh,አቶ አዳፍሬ ብዙነህ,ዋና ዳሬክተር,በብሄራዊ  ቲአትር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
7,Adamu Ayana Gossa,አቶ አዳሙ አያና ጐሣ,ሚ/ዴኤታ,ሲቪል ሰርቪስ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
8,Shek Adem Oumer Habib,ሼክ አደም ዑመር ሀቢብ,ፕረዚዳንት,ፌደራል ጠቅላይ ሸሪዓ ፈ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
9,Adgu Maru,አቶ አድጉ ማሩ,ዋና ዳይረሬክተር,ፌደራል ጉዳዮች ፕላንና ፋይናንስ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
10,Adil Ahmed Abdulahi,አቶ አዲል አህመድ አብዱላሂ,ሚ/ዴኤታ,ጠቅላይ ሚ/ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
11,Dr. Adissalem Balema Abay,ዶ/ር አዲስዓለም ባሌማ አባይ,ዋና ዳይሬክተር,የምርት ገበያ ባለስልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
12,Adissu Mengistu,አቶ አዲሱ መንግስቱ,ም/ኮሚሽነር,የፌፀሙኮ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
13,Ahmed Abegisa Abaourgessa,አቶ አህመድ አበጊሣ አባኡርጌሣ,ሚ/ር ዴኤታ,ፍትህ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
14,Ahmed Shide Mehammed,አቶ አህመድ ሺዴ መሐመድ,ሚ/ር ዴኤታ,ገንዘብና ኢኮኖሚ ልማት ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
15, Ahmed Toussa Dalu,አቶ አህመድ ቱሣ ዳሉ,ሚ/ዴኤታ,ንግድ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
16, Alebachew Nigussie Shiwarega,አቶ አለባቸው ንጉሴ ሸዋረጋ,ሚ/ዴኤታ,ጠቅላይ ሚ/ር ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
17, Alemayehu Goujo Loquie,አቶ አለማየሁ ጉጆ ሎቄ,ሚ/ር ዴኤታ,ገንዘብና ኢኮኖሚ ል/ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
18, Alemayehu Ejigu Kumsa,አቶ አለማየሁ እጅጉ ኩምሣ,ሚ/ዴኤታ,መንግሥት ኮሙዩኒኬሽን ጉዳዮች,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
19, Alemseged Assefa Birish,አቶ አለምሰገድ አሰፋ ብርሽ,ም/ገዢ,የኢትዮጵያ ብሔራዊ ባንክ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
20, Ali Siraj Mehammed,አቶ ዓሊ ሲራጅ መሀመድ,ዋና ዳይሬክተር,የበጐ አድራጐት ድርጅቶችና ማህበራት ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
21, Almeaw Mengist Ambaye,አቶ አልማው መንግሥት አምባየ,ሚ/ር ዴኤታ,ሴቶችና ህፃናት ወጣቶች ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
22,W/R Almaz Kahsay G/Mariyam,አቶ አልማዝ ካህሣይ ገ/ማሪያም,ዋና ዳይሬክቶሬት,የኢት.ጥራትና ደረጃዎች ባለሥልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
23,W/R Amarech Bekalo Sapa,አቶ አማረች በካሎ ሣፓ,ዋና ዳይሬክቶሬት,ፌዴራል ኘሬዚደንት ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
24,Dr. Amha Kebede H/Michael,ዶ/ር አምሀ ከበደ ኃ/ሚካኤል,ም/ዋና ዳይሬክተር,ጤናና ሥነምግባር ምርምር ኢንስቲ.,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
25, Araya G/Egziabher Mehari,አቶ አርአያ ገ/እግዚአብሔር መሐሪ,ዋና ዳይሬክቶሬት,ሀገር አቀፍ ፈተናዎች ድርጅት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
26, Assefa Desta G/Michael,አቶ አሰፋ ደስታ ገ/ሚካኤል,ም/ዋና ኦዲተር,ዋና ኦዲተር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
27, Assefa Kesito Dasho,አቶ አሰፋ ከሲቶ ዳሾ,የኘሬዚዳንት ልዩ አማካሪ,ኘሬዚዳንት ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
28,W/R Asmaru Berihun Kebede,አቶ አስማሩ በሪሁን ከበደ,የሴቶችና ሕፃናት ኮሚሽነር,የኢት.ሰብአዊ መብት ኮሚሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
29, Atkilt Assefa Asgedom,አቶ አትክልት አሠፋ አስገዶም,ዋና ዳይሬክተር,ብሔ.ቤተመፃ.ቤተመዛ.ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
30, Atnatiwos Zeleqe Meshesha,አቶ አትናቲዎስ ዘለቀ መሸሻ,ጊ/ዋና ዳይሬክተር,ጨረር መከላከያ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
31,Ayalew Melaku Abera ,አያሌው መላኩ አበራ,ም/ፕሬዚዳንት,አ/አ ከተማ አስተዳደር ይግባኝ ሰሚ ፍ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
32,Ayana Zewude Workneh,አቶ አያና ዘውዴ ወርቅነህ,-,-,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
33,Bedru Dedgeba Ejabo,አቶ በድሩ ደድገባ ኢጃቦ,ም/ዋና ዳይሬክተር,ፌ.ሕ.ሥ.ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
34,Bekele Nigussie Kebede,አቶ በቀለ ንጉሴ ከበደ,ም/ዋና ዳይሬክተር,ኢትዮ መንገዶች ባለሥልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
35,Belaynesh Teklay G/Mariyam,አቶ በላይነሽ ተክላይ ገ/ማሪያም,ም/ዋና ዳይሬክተር,ገቢዎችና ጉምሩክ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
36,Ambassador Birhane G/Kiristos,አምባሳደር ብርሃነ ገ/ክርስቶስ,ሚ/ር ዴኤታ,የውጪ ጉዳይ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
37,Birhane W/Kiros Abera,አቶ ብርሃነ ወ/ኪሮስ አበራ,ም/ዋና ኮሚሽነር,ሰብአዊ መብት ኮሚሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
38,Birhanu Adello G/Mariyam,አቶ ብርሃኑ አዴሎ ገ/ማሪያም,ዋና ዳይሬክተር,የኢትዮ አዕምሮ ንብረት ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
39,Birhanu Tsegaye Abera,አቶ ብርሃኑ ፀጋዬ አበራ,ሚ/ር ዴኤታ,የፍትህ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
40,Dr. Betiru Teklie W/Semayat,ዶ/ር በትሩ ተክሌ ወ/ሰማያት,ዋና ዳይሬክተር,ኤች.አይ.ቪ ኤድስ መ/መ/ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
41,Beyene G/Mesqel Mada,አቶ በየነ ገ/መስቀል ማዳ,ዋና ዳይሬክተር,ኘራ.የመንግሥት ልማት ድ.ተ/ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
42,Bezabih G/Silassie,አቶ በዛብህ ገ/ስላሴ,ም/ዋና ዳይሬክተር,የቤተመንግስት አስተዳደር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
43,Bisrat Abebe Tsegaye,አቶ ብስራት አበበ ፀጋዬ,የአስ/ፍ/ም/ዴኤታ,ጠቅላይ ሚ/ር ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
44,Daba Arya Gelan,አቶ ዳባ አርያ ገላን,ዋና ዳይሬክተር,ማህበራዊ ዋስትና ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
45,Dr. Dadi Jimma Weyessa,ዶ/ር ዳዲ ጅማ ወየሣ,ም/ዋና ዳይሬክተር,የኢትዮ.ጤናና ሥነምግባር ምርምር ኢንስቲ.,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
46,Dawit Diqasso Dilebeto,አቶ ዳዊት ዲቃሶ ዲለበቶ,ም/ዋና ዳይሬክተር,በምባብ መጽ/ጤ/አ/ቁ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
47,Dawud Mehammed Ali,አቶ ዳውድ መሐመድ አሊ,ሚ/ር ዴኤታ,ባህልና ቱሪዝም ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
48,Desmissie Shito Genderie,አቶ ደምሴ ሽቶ ገንደሬ,ሚ/ዴኤታ,ጠቅላይ ሚ/ር ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
49,Dessalegne Ambaw Belete,አቶ ደሳለኝ አምባው በለጠ,ሚ/ዴኤታ,ከተማ ል/ኮን/ሚኒስቴር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
50,Dessalegne Berihe Bayru,አቶ ደሳለኝ በርሄ ባይሩ,ኘሬዚዳንት,የፌዴራል መጀመሪያ ደረጃ ፍ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
51,Dessalegne Mesfin Fanta,አቶ ደስአለኝ መስፍን ፋንታ,ም/ዋና ዳይሬክተር,የአካባቢ ጥበቃ ባለሥልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
52,Desta Tesfaw Mebratu,አቶ ደስታ ተስፋው መብራቱ,ዋና ዳይሬክተር,የኢትዮ ብሮድካስት ባለስልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
53,Dosegna Mamo Gebrie,አቶ ዶሰኛ ማሞ ገብሬ,ም/ዋና ዳይሬክተር,ፌደራል ማረሚያ ቤቶች አስተዳደር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
54,Dula Shanqo Sebeta,አቶ ዱላ ሻንቆ ሰበታ,ዋና ዳይሬክተር,ብሄራዊ ሚትርዮሎጂ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
55,Dr. Elfinesh Haile,ዶ/ር እልፍነሽ ሀይሌ ,ዋና ዳይሬክተር,የስብሰባ ማእከል,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
56,Elsa  Tesfaye,ወ/ሮ ኤልሳ ተስፋየ,ም/ዋና ዳይሬክተር,የቤተመንግስት አስተዳደር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
57,Eristu Yirda Wollu,አቶ እርስቱ ይርዳ ወሉ,ሚ/ር ዴኤታ,ጠቅላይ ሚ/ር ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
58,Ermias Assefa Gulilat,አቶ ኤርሚያስ አሰፋ ጉልላት ,ም/ዋና ኃላፊ,ብሔራዊ ምርጫ ቦርድ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
59,Etsay G/Silassie G/Hiwot,ወ/ሮ እፃይ ገ/ሥላሴ ገ/ሂወት,ዋና ዳይሬክተር,ኢትዮ ፈንጂ አምካኝ ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
60,Fetlework Gegziabher Abrha,ወ/ሮ ፈትለወርቅ ገ/እግዚአብሔር አብርሃ,ም/ዋና ዳይሮክተር,የፋይናንስ ደህንነት መረጃ ማዕከል,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
61,Fitsum Mesfin,አቶ ፍፁም መስፍን,ም/ዋና ዳይሬክተር,ፕ/መ/ል/ድ/ተቆጣጣሪ ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
62,Foziaya Amin Ali,ወ/ሮ ፎዚያ አሚን አሊይ,ዋና እንባ ጠባቂ,እንባ ጠባቂ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
63,Firenesh Mekuriya Gobena,ወ/ሮ ፍሬነሽ መኩሪያ ጐበና,ሚ/ር ዴኤታ,የሴቶች ሕፃናትና ወጣቶች ጉዳይ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
64,Fuad Ebrahim Oumer,አቶ ፉአድ ኢብራሂም ዑመር,ሚ/ር ዴኤታ,ትምህርት ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
65,Gebriel Lagar Hiziqiel,አቶ ገብርኤል ላገር ህዝቅኤል,ም/ዳይሬክተር,ኢትዮ ፈንጂ አምካኝ ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
66,G/Meskel Chala Motalo,አቶ ገ/መስቀል ጫላ ሞጣሎ,ዋና ዳይሬክተር,የፌ.ጥ.አነ.ን.ልማትድርጅት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
67,G/Medhin G/Tinsae Belay,አቶ ገ/መድህን ገ/ትንሣኤ በላይ,ሚ/ዲኤታ,ጠቅላይ ሚ/ር ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
68,G/Wahid W/Giyorgis,አቶ ገ/ዋህድ ወ/ጊዮርጊስ,ም/ዋና ዳይሬክተር,የኢት/ገቢዎችና ጉምሩክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
69,Gebru Bayibgne Tessema,አቶ ገብሩ ባይብኝ ተሠማ,ም/ዳይሬክተር,መንግሥት ቤቶች ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
70,Gelesso Borie Fissha,አቶ ገለሶ ቦሬ ፍስሐ,ም/ዋና ዳይሬክተር,የኢትዮ.መንገዶች ባለስልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
